Argentina,;,Buenos Aires
Argentina,;,Catamarca
Argentina,;,Chaco
Argentina,;,Chubut
Argentina,;,Ciudad de Buenos Aires
Argentina,;,Córdoba
Argentina,;,Corrientes
Argentina,;,Entre Ríos
Argentina,;,Formosa
Argentina,;,Jujuy
Argentina,;,La Pampa
Argentina,;,La Rioja
Argentina,;,Mendoza
Argentina,;,Misiones
Argentina,;,Neuquén
Argentina,;,Río Negro
Argentina,;,Salta
Argentina,;,San Juan
Argentina,;,San Luis
Argentina,;,Santa Cruz
Argentina,;,Santa Fe
Argentina,;,Santiago del Estero
Argentina,;,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
Argentina,;,Tucumán
